BioSample,Assay_Type,Organism,Run,Sample_Name,individual,sex,tissue,BioProject
SAMN11245701,WGS,Micropoecilia picta,SRR8785676,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785677,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785678,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785679,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785680,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785681,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785682,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785683,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785684,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785824,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245700,WGS,Micropoecilia picta,SRR8785501,P.pic._2F_H,8,female,head,PRJNA528814
SAMN11245700,WGS,Micropoecilia picta,SRR8785504,P.pic._2F_H,8,female,head,PRJNA528814
SAMN11245700,WGS,Micropoecilia picta,SRR8785505,P.pic._2F_H,8,female,head,PRJNA528814
SAMN11245700,WGS,Micropoecilia picta,SRR8785506,P.pic._2F_H,8,female,head,PRJNA528814
SAMN11245700,WGS,Micropoecilia picta,SRR8785507,P.pic._2F_H,8,female,head,PRJNA528814
SAMN11245700,WGS,Micropoecilia picta,SRR8785508,P.pic._2F_H,8,female,head,PRJNA528814
